"","has_preview_condition","reread_condition","context_name_1","context_type_1","context_name_2","context_type_2","linear","delta_r_1","delta_r_2","diff_delta_r","delta_MSE_1","delta_MSE_2","diff_delta_MSE","mean_dll_vec_1","mean_dll_vec_2","diff_mean_dll"
"1","Hunting",0,"pastP-P","standard_context","pastQP-Q-P","regime_comtext","linear",0.0178321293643789,0.0152005349173378,-0.00263159444704106,-47.4945901919109,-38.389776370288,9.10481382162288,0.00256803567266889,0.00207574175809319,-0.000492293914575697
"2","Hunting",0,"pastP-P","standard_context","pastQP-Q-P","regime_comtext","nonlinear",0.0173568340037539,0.0154133369685864,-0.00194349703516752,-44.9907706481972,-38.6501867388579,6.34058390933933,0.00242774284195994,0.00208677888110897,-0.000340963960850973
"3","Hunting",0,"pastP-P","standard_context","fillPastQP-fillerQ-P","dots_control_context","linear",0.0178321293643789,0.0137172653177887,-0.00411486404659013,-47.4945901919109,-33.3135200368033,14.1810701551076,0.00256803567266889,0.00182436259857426,-0.000743673074094624
"4","Hunting",0,"pastP-P","standard_context","fillPastQP-fillerQ-P","dots_control_context","nonlinear",0.0173568340037539,0.0148191194473604,-0.00253771455639347,-44.9907706481972,-35.8838521848356,9.10691846336158,0.00242774284195994,0.00195625581755001,-0.000471487024409932
"5","Hunting",0,"pastP-P","standard_context","textFillPastQP-textFillQ-P","text_control_context","linear",0.0178321293643789,0.0133763564104612,-0.00445577295391764,-47.4945901919109,-31.1654153499858,16.3291748419251,0.00256803567266889,0.00168695271500918,-0.000881082957659707
"6","Hunting",0,"pastP-P","standard_context","textFillPastQP-textFillQ-P","text_control_context","nonlinear",0.0173568340037539,0.0146793397043583,-0.00267749429939557,-44.9907706481972,-35.8771818507012,9.11358879749605,0.00242774284195994,0.00194061039426886,-0.000487132447691084
"7","Gathering",1,"pastP-P","standard_context","Article-pastP-P","regime_comtext","linear",0.00477771674851604,0.000250753597079351,-0.00452696315143669,-12.5593207832699,-0.57763359583987,11.98168718743,0.000661429688251258,3.49934183500837e-05,-0.000626436269901174
"8","Gathering",1,"pastP-P","standard_context","Article-pastP-P","regime_comtext","nonlinear",0.00555038406477815,0.000665471630110492,-0.00488491243466765,-13.9061212612087,-1.03629912654105,12.8698221346676,0.000726969254703596,5.05934028426364e-05,-0.000676375851860959
"9","Gathering",1,"pastP-P","standard_context","fillArticle-fillPastP-P","dots_control_context","linear",0.00477771674851604,0.00191676685929909,-0.00286094988921695,-12.5593207832699,-4.56836398221822,7.99095680105165,0.000661429688251258,0.000225236238415993,-0.000436193449835264
"10","Gathering",1,"pastP-P","standard_context","fillArticle-fillPastP-P","dots_control_context","nonlinear",0.00555038406477815,0.00508919168689775,-0.000461192377880393,-13.9061212612087,-12.8622790897825,1.04384217142615,0.000726969254703596,0.000669121657953401,-5.78475967501947e-05
"11","Gathering",1,"pastP-P","standard_context","textFillArticle-textFillPastP-P","text_control_context","linear",0.00477771674851604,0.00181061715537248,-0.00296709959314356,-12.5593207832699,-4.25651827170805,8.30280251156182,0.000661429688251258,0.000211524473146623,-0.000449905215104635
"12","Gathering",1,"pastP-P","standard_context","textFillArticle-textFillPastP-P","text_control_context","nonlinear",0.00555038406477815,0.00549558157639221,-5.48024883859355e-05,-13.9061212612087,-13.7507086259684,0.155412635240282,0.000726969254703596,0.000721078690586217,-5.89056411737828e-06
"13","Hunting",1,"pastP-P","standard_context","ArticleQfrP-pastQP-Q-P","regime_comtext","linear",0.00539653113370685,-0.000516212113916947,-0.00591274324762379,-8.5512114249932,1.18674979538355,9.73796122037675,0.000608418199200133,-8.29946236582681e-05,-0.000691412822858401
"14","Hunting",1,"pastP-P","standard_context","ArticleQfrP-pastQP-Q-P","regime_comtext","nonlinear",0.00582663630407534,-0.000378515833392823,-0.00620515213746817,-9.08301237544856,1.43359393293758,10.5166063083861,0.000637312590167974,-0.000110492205402305,-0.000747804795570279
"15","Hunting",1,"pastP-P","standard_context","fillArticleQfrP-fillPastQP-fillerQ-P","dots_control_context","linear",0.00539653113370685,0.00545895181430242,6.24206805955735e-05,-8.5512114249932,-8.82564739689951,-0.274435971906314,0.000608418199200133,0.000614427458119158,6.00925891902561e-06
"16","Hunting",1,"pastP-P","standard_context","fillArticleQfrP-fillPastQP-fillerQ-P","dots_control_context","nonlinear",0.00582663630407534,0.00466963461449171,-0.00115700168958363,-9.08301237544856,-7.2015673621263,1.88144501332226,0.000637312590167974,0.000499683132506507,-0.000137629457661466
"17","Hunting",1,"pastP-P","standard_context","textFillArticleQfrP-textFillPastQP-textFillQ-P","text_control_context","linear",0.00539653113370685,0.0016368527032594,-0.00375967843044744,-8.5512114249932,-2.22917360722477,6.32203781776843,0.000608418199200133,0.000176814603553958,-0.000431603595646175
"18","Hunting",1,"pastP-P","standard_context","textFillArticleQfrP-textFillPastQP-textFillQ-P","text_control_context","nonlinear",0.00582663630407534,0.00262252085232624,-0.0032041154517491,-9.08301237544856,-3.63646301777317,5.44654935767539,0.000637312590167974,0.000265518507059014,-0.00037179408310896
"19","Gathering",0,"pastP-P","standard_context","instFirstReadA-pastP-P","prompt_regime_comtext","linear",0.00605130796558895,0.00699013978131718,0.000938831815728236,-30.7058050586966,-35.7446123649715,-5.03880730627498,0.00114662978799147,0.0013369461114374,0.000190316323445936
"20","Gathering",0,"pastP-P","standard_context","instFirstReadA-pastP-P","prompt_regime_comtext","nonlinear",0.00728817814293103,0.00815038443785615,0.000862206294925116,-36.6223210187491,-41.2774042126657,-4.65508319391665,0.00137354679160565,0.00154674942242284,0.000173202630817187
"21","Hunting",0,"pastP-P","standard_context","instFirstReadA-pastQP-Q-P","prompt_regime_comtext","linear",0.0178321293643789,0.0169564012338645,-0.000875728130514397,-47.4945901919109,-44.1706256399466,3.32396455196431,0.00256803567266889,0.00238489975468486,-0.000183135917984028
"22","Hunting",0,"pastP-P","standard_context","instFirstReadA-pastQP-Q-P","prompt_regime_comtext","nonlinear",0.0173568340037539,0.0172743357290177,-8.24982747362479e-05,-44.9907706481972,-44.6459561939591,0.344814454238076,0.00242774284195994,0.00240665662804622,-2.10862139137201e-05
"23","Gathering",1,"pastP-P","standard_context","instFirstReadA-Article-instReReadA-pastP-P","prompt_regime_comtext","linear",0.00477771674851604,0.0014446319037405,-0.00333308484477554,-12.5593207832699,-3.60638041509446,8.9529403681754,0.000661429688251258,0.000194227463642646,-0.000467202224608612
"24","Gathering",1,"pastP-P","standard_context","instFirstReadA-Article-instReReadA-pastP-P","prompt_regime_comtext","nonlinear",0.00555038406477815,0.000450265292936375,-0.00510011877184177,-13.9061212612087,0.19099623875627,14.097117499965,0.000726969254703596,-1.31639759376847e-05,-0.00074013323064128
"25","Hunting",1,"pastP-P","standard_context","instFirstReadA-ArticleQfrP-instReReadA-pastQP-Q-P","prompt_regime_comtext","linear",0.00539653113370685,0.000477622720399931,-0.00491890841330692,-8.5512114249932,-0.408251152147386,8.14296027284581,0.000608418199200133,3.12160513137668e-05,-0.000577202147886366
"26","Hunting",1,"pastP-P","standard_context","instFirstReadA-ArticleQfrP-instReReadA-pastQP-Q-P","prompt_regime_comtext","nonlinear",0.00582663630407534,0.000513189436266312,-0.00531344686780903,-9.08301237544856,-0.178602209517521,8.90441016593104,0.000637312590167974,8.83109308435724e-06,-0.000628481497083617
"27","Hunting",0,"pastQP-Q-P","regime_comtext","instFirstReadA-pastQP-Q-P","prompt_regime_comtext","linear",0.0152005349173378,0.0169564012338645,0.00175586631652666,-38.389776370288,-44.1706256399466,-5.78084926965857,0.00207574175809319,0.00238489975468486,0.000309157996591669
"28","Hunting",0,"pastQP-Q-P","regime_comtext","instFirstReadA-pastQP-Q-P","prompt_regime_comtext","nonlinear",0.0154133369685864,0.0172743357290177,0.00186099876043128,-38.6501867388579,-44.6459561939591,-5.99576945510125,0.00208677888110897,0.00240665662804622,0.000319877746937253
"29","Gathering",1,"Article-pastP-P","regime_comtext","instFirstReadA-Article-instReReadA-pastP-P","prompt_regime_comtext","linear",-0.000316702891626663,0.0014446319037405,0.00176133479536716,1.0361576787036,-3.60638041509446,-4.64253809379807,-5.75854898631655e-05,0.000194227463642646,0.000251812953505811
"30","Gathering",1,"Article-pastP-P","regime_comtext","instFirstReadA-Article-instReReadA-pastP-P","prompt_regime_comtext","nonlinear",0.000789847490234252,0.000450265292936375,-0.000339582197297877,-0.885878381473958,0.19099623875627,1.07687462023023,4.40519621937064e-05,-1.31639759376847e-05,-5.72159381313911e-05
"31","Hunting",1,"ArticleQfrP-pastQP-Q-P","regime_comtext","instFirstReadA-ArticleQfrP-instReReadA-pastQP-Q-P","prompt_regime_comtext","linear",-0.000505413762964729,0.000477622720399931,0.00098303648336466,0.959067627293734,-0.408251152147386,-1.36731877944112,-6.62569715334516e-05,3.12160513137668e-05,9.74730228472184e-05
"32","Hunting",1,"ArticleQfrP-pastQP-Q-P","regime_comtext","instFirstReadA-ArticleQfrP-instReReadA-pastQP-Q-P","prompt_regime_comtext","nonlinear",0.00251398236427464,0.000513189436266312,-0.00200079292800832,-3.18815654406899,-0.178602209517521,3.00955433455147,0.000206101206169677,8.83109308435724e-06,-0.000197270113085319
